Year, Month, Day, Place, Province, Type, Loss, 2016Loss
1983, July, 9, Saskatchewan, SK, Storm, 16385, 36211
1983, Aug, 3, Edmonton, AB, Storm, 22060, 48752
1984, April, 30, Bruce County, ON, Wind, 39066, 82774
1985, May, 30, Leamington, ON, Storm, 16390, 33404
1985, May, 31, Barrie, ON, Tornado, 83922, 171041
1986, May, 29, Montreal, QC, Hail, 45473, 89005
1987, May, 29, Montreal, QC, Hail, 24891, 46657
1987, July, 14, Montreal, QC, Storm, 44678, 83747
1987, July, 31, Edmonton, AB, Tornado, 148377, 278126
1988, June, 7, Medicine Hat, AB, Tornado, 50027, 90217
1988, July, 6, Slave Lake, AB, Flooding, 21500, 38772
1988, Aug, 16, Calgary, AB, Hail, 37127, 66954
1989, July, 20, Harrow, ON, Flooding, 13807, 23701
1990, July, 9, Calgary, AB, Hail, 16279, 26661
1991, March, 27-28, Sarnia, ON, Tornado, 25407, 39399
1991, July, 3, Red Deer, AB, Storm, 28202, 43734
1991, Aug, 27, Maskinongé, QC, Tornado, 17667, 27397
1991, Sept, 7, Calgary, AB, Hail, 342745, 531503
1991, Nov, 30, Ontario, ON, Wind, 5429, 8419
1992, July, 31, Calgary, AB, Hail, 22078, 33748
1992, July, 31, Toronto, ON, Flooding, 4898, 7487
1992, Aug, 28, Alberta, AB, Hail, 5263, 8045
1992, Aug, 28, Elmira and Aurora, ON, Flooding, 4348, 6646
1992, Sept, 1, Alberta, AB, Hail, 7421, 11344
1992, Oct, 6-7, Avalon, NL, Wind, 8216, 12559
1992, Nov, 12-13, southern Ontario, ON, Wind, 36437, 55697
1992, Nov, 12-13, Quebec, QC, Wind, 12056, 18428
1993, March, 13-14, Quebec, QC, Storm, 18447, 27671
1993, July, 25-Aug.14, Winnipeg, MB, Flooding, 184837, 277256
1993, July, 29-30, Alberta, AB, Hail, 8116, 12174
1993, July, 29, Saskatchewan, SK, Flooding, 5383, 8075
1993, July, 29-30, Quebec, QC, Flooding, 7624, 11436
1994, Jan, 16-17, southern Ontario, ON, Flooding, 13145, 19694
1994, Jan, 28, southern Ontario, ON, Storm, 6250, 9364
1994, May, 18, southern Manitoba, MA, Storm, 8260, 12376
1994, May, 22, Saskatchewan, SK, Storm, 8666, 12984
1994, June, 18, southern Alberta, AB, Hail, 8263, 12380
1994, Aug, 4, Salmon Arm, BC, Storm, 10225, 15320
1994, Aug, 4, Aylmer, QC, Tornado, 6911, 10354
1994, Aug, 27, southern Manitoba, MA, Hail, 8112, 12154
1994, Aug, 28, southern Ontario, ON, Storm, 7219, 10816
1995, June, 6-9, Calgary, AB, Flooding, 20764, 30435
1995, July, 4, Edmonton, AB, Hail, 14698, 21544
1995, July, 10, southern Alberta, AB, Hail, 26389, 38680
1995, July, 13-15, southern Ontario, ON, Storm, 53439, 78328
1995, July, 17, Calgary, AB, Hail, 52304, 76665
