Rank,Hurricane,Year,Category,Damage(Billion USD)
1,SE Florida/Alabama,1926,4,72.303
2,Andrew (SE FL-LA),1992,4,33.094
3,SW Florida,1944,3,16.864
4,New England,1938,3,16.629
5,SE Florida/Lake Okeechobee,1928,4,13.795
6,Betsy (SE FL-LA),1965,3,12.434
7,Donna (FL-eastern United States),1960,4,12.048
8,Camille (MS-LA-VA),1969,5,10.965
9,"Agnes (NW FL, NE United States)",1972,1,10.705
10,Diane (NE United States),1955,1,10.232
11,Hugo (SC),1989,4,9.38
12,Carol (NE United States),1954,3,9.066
13,SE FL-LA-AL,1947,4,8.308
14,Carla (N and central TX),1961,4,7.069
15,Hazel (SC-NC),1954,4,7.039
16,NE United States,1944,3,6.536
17,SE Florida,1945,3,6.313
18,Frederic (AL-MS),1979,3,6.293
19,SE FL,1949,3,5.838
20,Alicia (N TX),1983,3,4.056
21,Celia (S TX),1970,3,3.338
22,Dora (NE FL),1964,2,3.108
23,Opal (NW FL-AL),1995,3,3
24,Cleo (SE FL),1964,2,2.435
25,Juan (LA),1985,1,2.399
26,Audrey (LA-N TX),1957,4,2.396
27,King (SE FL),1950,3,2.266
28,SE FL-GA-SC,1947,2,2.263
29,SE FL,1935,2,2.191
30,Elena (MS-AL-NW FL),1985,3,2.064
