Number, Name, Start date, End date, IL (2009 euro)
1, NA, 17.01.1974, 17.01.1974, NA
2, NA, 29.12.1974, 29.12.1974, NA
3, Capella, 03.01.1976, 03.01.1976, NA
4, NA, 31.12.1977, 31.12.1977, NA
5, NA, 03.01.1981, 03.01.1981, NA
6, NA, 04.02.1981, 04.02.1981, NA
7, NA, 26.04.1981, 26.04.1981, NA
8, NA, 11.10.1981, 11.10.1981, NA
9, NA, 09.10.1982, 09.10.1982, NA
10, NA, 10.11.1982, 10.11.1982, NA
11, NA, 28.12.1983, 28.12.1983, NA
12, NA, 24.11.1984, 24.11.1984, NA
13, NA, 18.12.1985, 18.12.1985, NA
14, NA, 31.01.1986, 31.01.1986, NA
15, NA, 19.12.1986, 19.12.1986, NA
16, NA, 05.04.1987, 05.04.1987, NA
17, NA, 14.02.1990, 14.02.1990, NA
18, Vivian, 26.02.1990, 27.02.1990, NA
19, Wiebke, 28.02.1990, 01.03.1990, NA
20, NA, 18.11.1990, 18.11.1990, NA
21, NA, 21.03.1992, 22.03.1992, NA
22, NA, 24.01.1993, 24.01.1993, NA
23, NA, 18.07.1993, 18.07.1993, NA
24, NA, 08.12.1993, 08.12.1993, NA
25, NA, 06.01.1994, 06.01.1994, NA
26, Lore, 28.01.1994, 29.01.1994, NA
27, NA, 13.03.1994, 14.03.1994, NA
28, Wilma, 26.01.1995, 27.01.1995, NA
29, NA, 12.06.1995, 12.06.1995, NA
30, NA, 06.11.1995, 07.11.1995, NA
31, NA, 11.11.1996, 12.11.1996, NA
32, NA, 13.02.1997, 13.02.1997, NA
33, NA, 05.04.1997, 05.04.1997, NA
34, NA, 07.04.1997, 08.04.1997, NA
35, NA, 11.04.1997, 13.04.1997, NA
36, NA, 02.01.1998, 02.01.1998, NA
37, NA, 05.01.1998, 06.01.1998, NA
38, NA, 07.07.1998, 07.07.1998, 3339571
39, NA, 27.07.1998, 27.07.1998, NA
40, NA, 31.07.1998, 01.08.1998, 3573821
41, NA, 28.10.1998, 29.10.1998, NA
42, NA, 01.11.1998, 01.11.1998, NA
43, Lara, 04.02.1999, 05.02.1999, 4365383
44, NA, 01.06.1999, 04.06.1999, 13130338
45, Lothar, 26.12.1999, 26.12.1999, 21979805
46, NA, 17.01.2000, 21.01.2000, 8596491
47, NA, 04.07.2000, 04.07.2000, 25657578
48, NA, 09.03.2000, 09.03.2000, NA
49, NA, 07.07.2000, 07.07.2000, 3187199
50, NA, 06.11.2000, 06.11.2000, NA
51, Emma, 21.02.2001, 21.02.2001, NA
52, NA, 19.03.2001, 19.03.2001, NA
53, NA, 07.07.2001, 07.07.2001, 5289547
54, NA, 02.01.2002, 02.01.2002, NA
55, NA, 23.06.2002, 24.06.2002, 5225198
56, NA, 10.07.2002, 10.07.2002, 2152088
57, NA, 11.08.2002, 13.08.2002, 5264797
58, Jeanette, 27.10.2002, 28.10.2002, 13710943
59, NA, 16.11.2002, 17.11.2002, 9252369
60, Calvann, 01.01.2003, 03.01.2003, 3881060
61, NA, 06.04.2003, 07.04.2003, NA
62, NA, 13.05.2003, 13.05.2003, 2679134
63, NA, 14.06.2003, 15.06.2003, NA
64, NA, 21.07.2003, 21.07.2003, NA
65, NA, 18.08.2003, 18.08.2003, NA
66, NA, 28.08.2003, 30.08.2003, 3950117
67, NA, 07.10.2003, 07.10.2003, NA
68, Gerda-Hanne, 12.01.2004, 15.01.2004, 3915547
69, Ursula, 19.01.2004, 19.01.2004, NA
70, NA, 08.02.2004, 08.02.2004, NA
71, NA, 06.07.2004, 06.07.2004, NA
72, NA, 12.08.2004, 13.08.2004, 3611801
73, NA, 18.11.2004, 20.11.2004, 14126622
74, NA, 30.05.2005, 30.05.2005, 2606848
75, Dorian, 18.07.2005, 18.07.2005, NA
76, NA, 15.12.2005, 16.12.2005, NA
77, NA, 01.01.2006, 07.01.2006, 7741211
78, NA, 27.06.2006, 30.06.2006, 10486044
79, NA, 29.08.2006, 29.08.2006, 116958
80, NA, 05.11.2006, 05.11.2006, NA
81, Franz, 11.01.2007, 13.01.2007, 4408424
82, Kyrill, 18.01.2007, 20.01.2007, 161831725
83, Olli, 28.01.2007, 29.01.2007, 9289850
84, NA, 20.06.2007, 22.06.2007, 19820640
85, Klaus, 11.11.2007, 11.11.2007, NA
86, Paula, 26.01.2008, 28.01.2008, 63877821
87, Emma, 01.03.2008, 03.03.2008, 111407420
88, NA, 23.06.2008, 27.06.2008, 13289295
89, NA, 12.07.2008, 12.07.2008, 3717986
90, NA, 14.08.2008, 15.08.2008, 4464130
91, NA, 22.08.2008, 22.08.2008, 8628437
92, Felix, 26.05.2009, 27.05.2009, 4466481
93, NA, 24.01.2009, 24.01.2009, NA
94, NA, 16.06.2009, 16.06.2009, 2858010
95, NA, 06.07.2009, 07.07.2009, 4674891
96, Wolfgang, 23.07.2009, 24.07.2009, 115521121
